                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3299,                 3.1174,                 2.6798,                 1.1349,                0.00477,                0.91045,                0.21942,                0.09636,                0.00422,                0.80597,                0.16304,                0.06128,                 1.2712,                 3.3444,                 3.4866,                  1.179,             0.00065476,             0.00065476,             0.00065476
                      2,                 1.3165,                 2.8341,                 1.8726,                 1.1369,                0.43482,                0.28856,                 0.2956,                0.17073,                 0.4018,                0.29353,                0.27932,                0.12609,                 1.5288,                 4.4221,                 2.5747,                 1.3633,              0.0013083,              0.0013083,              0.0013083
                      3,                 1.3876,                 2.9802,                 1.7804,                 1.1789,                0.56746,                0.62189,                0.57412,                0.31993,                0.58594,                0.49751,                0.46103,                0.20155,                 1.5034,                 3.3486,                 1.8637,                 1.3803,              0.0019487,              0.0019487,              0.0019487
                      4,                 1.3521,                 2.9602,                 1.5435,                  1.166,                0.63479,                0.53615,                 0.5726,                0.34838,                0.57843,                0.47264,                0.45061,                0.18871,                 1.4029,                 4.1364,                 1.6307,                 1.2454,              0.0019406,              0.0019406,              0.0019406
                      5,                 1.3508,                 2.8563,                 1.4367,                 1.1642,                0.66487,                0.55721,                0.61355,                0.35166,                0.61268,                0.51244,                0.52425,                0.22015,                 1.3681,                 3.1395,                 1.5551,                 1.2573,              0.0019208,              0.0019208,              0.0019208
                      6,                 1.3198,                 2.7827,                 1.3096,                 1.1364,                0.68336,                0.69652,                0.72668,                0.44647,                0.63791,                0.63984,                0.63413,                0.29031,                 1.3285,                 3.0967,                 1.2395,                   1.19,               0.001901,               0.001901,               0.001901
                      7,                 1.3126,                 2.7035,                 1.2484,                 1.1499,                0.70289,                0.70149,                0.71675,                 0.4166,                0.59359,                0.59204,                0.54847,                0.24244,                  1.442,                 3.2072,                   1.23,                 1.2725,              0.0018812,              0.0018812,              0.0018812
                      8,                 1.3185,                 2.7781,                 1.2297,                 1.1356,                0.77416,                0.71144,                0.78504,                0.48011,                 0.7421,                0.65852,                0.68236,                0.31974,                 1.2759,                 2.9835,                 1.1733,                 1.1646,              0.0018614,              0.0018614,              0.0018614
                      9,                 1.2514,                 2.6563,                 1.1943,                 1.1214,                0.70066,                0.68159,                0.71963,                0.46489,                0.64952,                0.63184,                0.62569,                0.28643,                 1.2424,                 3.1004,                 1.1902,                 1.1832,              0.0018416,              0.0018416,              0.0018416
                     10,                 1.2506,                 2.7116,                 1.1309,                 1.1187,                0.76477,                0.57711,                0.71804,                0.44314,                0.72977,                0.55721,                0.64523,                0.28809,                 1.3533,                 3.0559,                 1.1933,                 1.2212,              0.0018218,              0.0018218,              0.0018218
                     11,                 1.2343,                 2.6398,                 1.1327,                 1.1144,                0.80552,                0.63682,                0.74162,                0.48502,                0.77549,                0.58706,                0.65844,                0.31272,                  1.249,                 2.8961,                 1.1494,                 1.1695,               0.001802,               0.001802,               0.001802
                     12,                  1.241,                 2.5915,                  1.105,                 1.1172,                 0.6963,                0.69652,                0.76965,                0.46532,                 0.6206,                0.67662,                0.65965,                0.30498,                 1.3164,                 2.8375,                 1.1688,                 1.1905,              0.0017822,              0.0017822,              0.0017822
                     13,                 1.2462,                 2.5853,                 1.1058,                 1.1182,                 0.7458,                0.71144,                0.76582,                0.50716,                0.77125,                0.69652,                0.72562,                0.35872,                 1.1595,                 2.7334,                 1.0581,                 1.1262,              0.0017624,              0.0017624,              0.0017624
                     14,                 1.2076,                 2.5363,                 1.0289,                 1.0993,                0.71673,                0.70495,                0.75555,                0.45872,                0.66188,                0.59701,                0.62027,                0.28731,                 1.3067,                 3.0886,                 1.1174,                 1.1821,              0.0017426,              0.0017426,              0.0017426
                     15,                 1.2062,                 2.5702,                 1.0332,                 1.0973,                0.73381,                0.65832,                0.73374,                0.45778,                0.70275,                0.62341,                0.65701,                0.31414,                 1.2781,                 2.9166,                  1.183,                 1.2011,              0.0017228,              0.0017228,              0.0017228
                     16,                 1.1783,                 2.4918,                 1.0103,                 1.0891,                0.82821,                0.66667,                0.78539,                0.53086,                0.79058,                0.61981,                0.71286,                0.33969,                 1.1725,                 2.8834,                 1.0386,                 1.1392,               0.001703,               0.001703,               0.001703
                     17,                 1.1501,                 2.4948,                0.98662,                 1.0739,                0.82235,                0.72139,                0.80709,                0.54179,                0.78059,                0.68159,                0.72824,                0.34522,                 1.1875,                  2.832,                 0.9335,                 1.1279,              0.0016832,              0.0016832,              0.0016832
                     18,                 1.1457,                 2.4859,                0.98336,                 1.0733,                0.76811,                0.70647,                0.74979,                0.47785,                0.72024,                0.65325,                0.66645,                0.32753,                 1.2504,                 2.9486,                 1.1071,                  1.169,              0.0016634,              0.0016634,              0.0016634
                     19,                  1.159,                 2.3935,                0.94721,                 1.0769,                0.68126,                0.73372,                0.73104,                0.47322,                0.65134,                0.70149,                0.68142,                0.30184,                  1.131,                 2.9285,                 1.0879,                  1.113,              0.0016436,              0.0016436,              0.0016436
                     20,                 1.1424,                 2.5403,                0.96429,                 1.0789,                0.70904,                0.75622,                0.79515,                0.51982,                0.69916,                0.70531,                0.73197,                0.37593,                 1.1585,                 2.7599,                0.97986,                 1.1044,              0.0016238,              0.0016238,              0.0016238
                     21,                 1.1254,                 2.3999,                 0.9496,                 1.0671,                0.77484,                0.68159,                0.78773,                0.49812,                0.73936,                0.62687,                0.68423,                0.31572,                 1.2194,                 2.8288,                 1.0054,                 1.1581,               0.001604,               0.001604,               0.001604
                     22,                 1.1376,                 2.4935,                0.94024,                 1.0619,                0.73165,                0.70149,                0.75882,                0.50449,                0.69624,                0.70149,                0.70336,                0.34716,                 1.1724,                 2.8961,                 1.0065,                 1.1405,              0.0015842,              0.0015842,              0.0015842
                     23,                 1.1117,                 2.4239,                0.90434,                 1.0539,                0.74549,                0.78607,                0.82225,                0.54314,                0.73157,                0.75124,                0.76557,                0.37263,                 1.1658,                 2.8742,                0.92814,                 1.1218,              0.0015644,              0.0015644,              0.0015644
                     24,                 1.0966,                 2.3853,                0.90042,                 1.0494,                0.80977,                0.69891,                0.79466,                0.53582,                0.76915,                0.66667,                0.72361,                0.38379,                 1.1418,                 2.7899,                0.92171,                  1.099,              0.0015446,              0.0015446,              0.0015446
                     25,                 1.1011,                 2.4046,                0.89044,                 1.0467,                0.80045,                0.67853,                0.80501,                0.54953,                0.81836,                0.65006,                0.76116,                0.37587,                 1.1553,                 2.7787,                0.91326,                 1.1379,              0.0015248,              0.0015248,              0.0015248
                     26,                 1.1058,                 2.4395,                0.87589,                 1.0427,                0.78593,                0.76119,                0.83185,                0.55256,                 0.7397,                0.71642,                0.73532,                0.35243,                 1.1469,                 2.9346,                0.88631,                 1.1098,               0.001505,               0.001505,               0.001505
                     27,                 1.0775,                 2.3364,                0.85218,                 1.0372,                0.78601,                0.76751,                0.82411,                0.56718,                0.76256,                0.74129,                0.78281,                 0.3896,                 1.1194,                 2.7166,                0.89602,                 1.0822,              0.0014852,              0.0014852,              0.0014852
                     28,                 1.1087,                 2.3629,                0.91727,                  1.052,                0.79354,                0.68841,                0.78961,                0.53748,                0.76471,                0.67912,                0.74479,                0.37667,                 1.1111,                 2.6684,                 0.9267,                 1.1097,              0.0014654,              0.0014654,              0.0014654
                     29,                 1.0525,                 2.3132,                0.84288,                 1.0278,                0.79043,                0.67164,                0.78205,                0.51885,                0.78427,                0.64179,                0.72052,                0.35739,                 1.1802,                 2.8427,                 0.9713,                 1.1521,              0.0014456,              0.0014456,              0.0014456
                     30,                 1.0723,                 2.3608,                0.85214,                  1.032,                0.82914,                0.72431,                0.81419,                0.52068,                0.78091,                0.69652,                0.73277,                0.35112,                  1.201,                 2.8475,                0.94743,                 1.1171,              0.0014258,              0.0014258,              0.0014258
                     31,                 1.0735,                 2.3257,                0.86015,                 1.0354,                0.74601,                0.79104,                0.80736,                0.54138,                0.72644,                0.73984,                0.75073,                  0.379,                 1.1637,                 2.7565,                0.91031,                 1.1168,               0.001406,               0.001406,               0.001406
                     32,                 1.0382,                 2.2634,                0.81529,                 1.0196,                0.82841,                 0.7206,                0.82403,                0.55408,                0.87221,                0.64517,                0.76818,                0.38902,                 1.1409,                 2.7166,                 0.8958,                 1.0969,              0.0013862,              0.0013862,              0.0013862
                     33,                 1.0411,                 2.3038,                0.82967,                  1.016,                0.84778,                0.72139,                0.83693,                0.56131,                0.80284,                0.68657,                 0.7754,                0.38229,                 1.1398,                 2.8343,                0.86813,                 1.1086,              0.0013664,              0.0013664,              0.0013664
                     34,                 1.0495,                 2.2618,                0.82637,                 1.0312,                0.78591,                0.73134,                0.78564,                0.52407,                0.70469,                0.74792,                0.72678,                0.36367,                 1.1508,                  2.731,                0.97872,                 1.1284,              0.0013466,              0.0013466,              0.0013466
                     35,                 1.0397,                 2.2969,                0.78244,                 1.0189,                0.70032,                0.81383,                0.81351,                0.54697,                0.65591,                0.73134,                 0.7397,                 0.3784,                 1.1308,                 2.7978,                0.90923,                  1.099,              0.0013268,              0.0013268,              0.0013268
                     36,                 1.0215,                 2.2445,                0.81229,                 1.0113,                0.73545,                0.80597,                0.81518,                0.54521,                 0.6908,                0.75622,                0.73371,                0.37503,                 1.1342,                 2.8199,                0.89766,                 1.1151,               0.001307,               0.001307,               0.001307
                     37,                 1.0254,                 2.2651,                0.76235,                 1.0124,                0.77772,                 0.7659,                0.83282,                0.56661,                0.77381,                0.74627,                0.79034,                0.40876,                 1.1221,                 2.6795,                0.84649,                 1.0933,              0.0012872,              0.0012872,              0.0012872
                     38,                 1.0285,                 2.1906,                0.76902,                 1.0102,                 0.8176,                0.71642,                 0.7989,                0.54853,                0.78287,                0.68657,                0.76268,                0.40067,                 1.1374,                 2.8733,                0.87997,                 1.0925,              0.0012674,              0.0012674,              0.0012674
                     39,                 1.0209,                 2.2581,                0.77614,                 1.0082,                0.83131,                0.71642,                  0.829,                0.57091,                0.79503,                0.66667,                0.76367,                0.39454,                 1.1195,                 2.8104,                0.86027,                 1.1015,              0.0012476,              0.0012476,              0.0012476
                     40,                 1.0256,                 2.1976,                0.76755,                  1.013,                0.83108,                0.75882,                0.81908,                0.55079,                0.79273,                0.72307,                0.75795,                0.38758,                 1.1919,                 2.7978,                0.85562,                 1.1342,              0.0012278,              0.0012278,              0.0012278
                     41,                 1.0058,                 2.1777,                0.72799,                 1.0097,                0.84011,                0.77114,                0.85427,                 0.5889,                0.80368,                0.75124,                0.80215,                0.42823,                 1.1195,                 2.7828,                0.81531,                 1.0648,               0.001208,               0.001208,               0.001208
                     42,                 1.0057,                 2.1797,                0.73811,                 1.0049,                0.83323,                0.77114,                0.84007,                0.58738,                0.80048,                0.74129,                 0.7856,                0.40565,                 1.1041,                 2.7395,                0.81128,                 1.0934,              0.0011882,              0.0011882,              0.0011882
                     43,                 1.0331,                 2.2176,                 0.7652,                 1.0155,                0.83236,                0.76577,                0.84455,                0.56931,                0.78599,                0.75124,                0.80186,                 0.4022,                 1.1615,                 2.7563,                0.81231,                 1.0933,              0.0011684,              0.0011684,              0.0011684
                     44,                 1.0036,                 2.1353,                 0.7403,                0.99619,                0.78394,                0.76617,                0.82421,                0.55496,                0.72355,                 0.7422,                0.74392,                0.37612,                 1.1418,                 2.6317,                0.85051,                 1.0978,              0.0011486,              0.0011486,              0.0011486
                     45,                0.98138,                 2.1628,                 0.7162,                0.98789,                 0.7738,                0.77114,                0.82841,                0.57278,                0.72917,                0.72637,                0.75159,                0.38392,                 1.1174,                  2.741,                  0.885,                 1.1074,              0.0011288,              0.0011288,              0.0011288
                     46,                 0.9598,                 2.1223,                0.72818,                0.98392,                0.74898,                0.80161,                0.84402,                 0.5709,                0.78402,                0.72241,                0.79713,                0.42571,                 1.1151,                 2.6468,                 0.8321,                 1.0933,               0.001109,               0.001109,               0.001109
                     47,                0.95609,                 2.1856,                0.69582,                 0.9777,                0.75018,                0.77114,                0.81124,                0.55588,                0.76438,                0.75622,                0.79186,                 0.4069,                 1.1438,                 2.7121,                0.84532,                 1.1153,              0.0010892,              0.0010892,              0.0010892
                     48,                0.96381,                 2.0977,                0.70542,                 0.9851,                0.82442,                0.67745,                0.80654,                0.52719,                0.79674,                0.65174,                0.76156,                0.40108,                 1.1632,                 2.7738,                0.90415,                 1.1163,              0.0010694,              0.0010694,              0.0010694
                     49,                0.97086,                 2.0838,                0.68897,                0.98188,                0.83912,                0.70149,                0.80467,                0.55792,                0.73675,                 0.6962,                0.74343,                 0.3908,                  1.115,                 2.7844,                  0.847,                 1.0884,              0.0010496,              0.0010496,              0.0010496
                     50,                0.96696,                 2.0758,                0.68168,                0.97933,                0.78439,                0.78109,                0.83104,                0.58908,                0.77075,                0.71923,                 0.7713,                0.40919,                 1.0767,                  2.734,                0.79055,                 1.0852,              0.0010298,              0.0010298,              0.0010298
                     51,                 0.9458,                 2.0696,                0.67309,                 0.9783,                0.82767,                0.76462,                0.83091,                0.57615,                0.79909,                0.73214,                0.75366,                0.40713,                 1.0855,                 2.7028,                0.81909,                 1.0675,                0.00101,                0.00101,                0.00101
                     52,                 0.9378,                  2.056,                0.65775,                0.97997,                0.80506,                0.75622,                0.82849,                0.56164,                0.84928,                0.64677,                0.72896,                0.38563,                 1.1013,                   2.73,                0.83742,                 1.0742,              0.0009902,              0.0009902,              0.0009902
                     53,                0.96829,                 2.1295,                0.68467,                0.98789,                0.79306,                0.75622,                0.80383,                0.53486,                0.74777,                0.69321,                0.71889,                0.35445,                 1.1683,                 2.8311,                0.88233,                 1.1051,              0.0009704,              0.0009704,              0.0009704
                     54,                0.94898,                 2.0783,                 0.6762,                0.97288,                0.80834,                0.77114,                0.81878,                0.54777,                0.75954,                0.72139,                0.73434,                0.37733,                 1.1354,                 2.8272,                0.84672,                 1.1051,              0.0009506,              0.0009506,              0.0009506
                     55,                0.94356,                 2.0347,                0.67381,                0.97056,                0.80029,                0.78607,                0.83576,                0.55806,                0.78532,                0.75622,                0.77149,                0.41101,                 1.1046,                 2.8762,                 0.8005,                 1.0898,              0.0009308,              0.0009308,              0.0009308
                     56,                0.93447,                 2.0839,                0.66419,                0.97908,                0.82274,                 0.7851,                0.84287,                 0.5775,                0.76703,                0.75622,                0.78701,                0.40452,                 1.1178,                 2.7544,                0.75908,                 1.0723,               0.000911,               0.000911,               0.000911
                     57,                0.92862,                  2.014,                 0.6412,                0.96553,                0.82305,                0.72637,                0.81416,                0.56664,                0.78612,                0.73146,                0.76325,                0.39471,                 1.0763,                 2.8362,                0.78826,                 1.0625,              0.0008912,              0.0008912,              0.0008912
                     58,                0.90301,                  1.979,                0.61804,                0.95809,                0.87739,                0.74767,                0.84019,                0.58113,                0.79085,                0.75622,                0.78514,                0.41271,                 1.0908,                 2.8547,                0.76011,                 1.0787,              0.0008714,              0.0008714,              0.0008714
                     59,                 0.9249,                 2.0346,                0.63054,                 0.9728,                0.81452,                 0.7865,                0.84694,                0.57423,                0.82121,                0.75412,                0.79451,                0.42203,                 1.0771,                 2.7719,                0.77713,                 1.0784,              0.0008516,              0.0008516,              0.0008516
                     60,                0.89049,                 1.9602,                0.62836,                0.96142,                0.72658,                0.78005,                0.80725,                0.57193,                0.70805,                0.76015,                0.75645,                0.39078,                 1.0403,                 2.7624,                0.84362,                 1.0541,              0.0008318,              0.0008318,              0.0008318
                     61,                0.92698,                 1.9858,                0.62658,                0.96118,                0.82876,                0.76617,                0.83081,                0.58427,                0.81261,                0.75124,                0.79293,                0.42079,                 1.0633,                 2.8628,                0.75376,                 1.0645,               0.000812,               0.000812,               0.000812
                     62,                0.91713,                 1.9958,                0.62792,                0.96767,                0.82691,                0.77114,                0.82158,                0.57144,                0.79345,                0.74129,                0.77376,                0.41697,                 1.0885,                 2.6852,                0.79661,                 1.0772,              0.0007922,              0.0007922,              0.0007922
                     63,                0.90506,                 2.0051,                0.62176,                0.95673,                0.82636,                0.78109,                0.80901,                0.55593,                0.78301,                0.73607,                0.71966,                0.39259,                 1.0954,                 2.8615,                0.79471,                 1.1002,              0.0007724,              0.0007724,              0.0007724
                     64,                0.89705,                 1.9442,                0.61187,                0.96326,                0.83703,                0.76657,                0.84343,                0.57983,                 0.7385,                  0.801,                 0.7928,                0.41217,                 1.0939,                 2.7164,                0.78763,                 1.0839,              0.0007526,              0.0007526,              0.0007526
                     65,                0.91266,                 2.0189,                 0.6085,                0.95802,                0.84125,                0.73821,                0.83579,                0.58454,                0.81872,                0.71904,                0.79665,                0.43102,                 1.0908,                 2.6824,                0.76592,                 1.0877,              0.0007328,              0.0007328,              0.0007328
                     66,                0.89218,                 1.9154,                0.59633,                0.95308,                 0.8049,                0.81592,                 0.8315,                0.58326,                0.78284,                0.75325,                  0.775,                0.39785,                 1.0982,                 2.8049,                0.77196,                 1.1024,               0.000713,               0.000713,               0.000713
                     67,                0.88883,                   1.92,                 0.5842,                0.95504,                0.78422,                0.80597,                0.83415,                0.57317,                0.74442,                0.76617,                0.76678,                 0.4265,                 1.0807,                 2.8513,                0.76556,                 1.0721,              0.0006932,              0.0006932,              0.0006932
                     68,                0.90512,                   1.93,                0.58236,                0.95258,                0.82836,                0.76836,                0.82688,                 0.5884,                0.75835,                0.79626,                0.79235,                0.43017,                 1.0465,                  2.748,                0.72645,                 1.0692,              0.0006734,              0.0006734,              0.0006734
                     69,                0.87973,                 1.9558,                 0.5841,                0.95073,                0.82879,                0.72139,                0.81429,                0.56314,                0.80021,                0.69652,                0.75075,                0.41161,                 1.1007,                 2.7116,                0.82953,                 1.0772,              0.0006536,              0.0006536,              0.0006536
                     70,                0.87689,                 1.8924,                0.56855,                0.94982,                0.83504,                0.71642,                0.80938,                0.57422,                0.80535,                0.67164,                0.72951,                0.40992,                 1.0461,                 2.7822,                0.79222,                  1.041,              0.0006338,              0.0006338,              0.0006338
                     71,                0.87764,                 1.9218,                 0.5621,                0.95145,                 0.7904,                0.80674,                0.83021,                0.58736,                0.76103,                0.77637,                0.77291,                0.43702,                 1.0922,                 2.6955,                0.77268,                 1.0722,               0.000614,               0.000614,               0.000614
                     72,                0.86859,                 1.9024,                0.56062,                0.94039,                0.82805,                0.78607,                0.83629,                0.58902,                0.81602,                0.75124,                 0.7871,                0.42851,                 1.0843,                 2.6906,                0.77041,                 1.0671,              0.0005942,              0.0005942,              0.0005942
                     73,                0.87759,                  1.887,                0.56016,                0.93729,                0.84545,                0.77114,                0.83354,                0.57422,                0.78532,                0.71642,                0.74303,                0.40786,                 1.1147,                 2.8069,                0.76546,                 1.0915,              0.0005744,              0.0005744,              0.0005744
                     74,                0.88782,                 1.9278,                0.56493,                0.94284,                0.86748,                0.76119,                0.83318,                0.58794,                0.83812,                0.73632,                0.77149,                0.41495,                 1.0884,                  2.765,                0.74128,                 1.0739,              0.0005546,              0.0005546,              0.0005546
                     75,                0.85329,                 1.8646,                0.55629,                0.94013,                0.84803,                 0.7496,                0.82782,                0.57405,                0.78568,                0.69305,                0.73605,                0.41287,                 1.0758,                 2.8024,                0.77402,                 1.0659,              0.0005348,              0.0005348,              0.0005348
                     76,                0.86965,                 1.8797,                0.56191,                0.94397,                0.82748,                0.78109,                0.83398,                0.59345,                0.78506,                0.74129,                 0.7608,                0.42531,                 1.0731,                  2.738,                0.73248,                 1.0653,               0.000515,               0.000515,               0.000515
                     77,                 0.8433,                 1.8656,                 0.5389,                0.93137,                 0.8443,                0.81095,                0.81901,                0.57218,                0.82645,                0.76617,                 0.7834,                0.41754,                 1.0498,                 2.7252,                0.76274,                 1.0628,              0.0004952,              0.0004952,              0.0004952
                     78,                0.84566,                 1.8712,                0.53926,                0.94244,                0.81758,                0.76119,                0.81786,                 0.5828,                  0.783,                0.73632,                0.76317,                0.41547,                  1.019,                 2.7342,                0.76117,                 1.0377,              0.0004754,              0.0004754,              0.0004754
                     79,                0.85854,                 1.8171,                0.54457,                  0.939,                0.81409,                 0.7625,                0.81361,                0.56976,                0.79755,                0.74129,                0.74974,                0.41289,                 1.0365,                 2.7094,                0.75586,                  1.049,              0.0004556,              0.0004556,              0.0004556
                     80,                0.83801,                 1.8563,                0.54182,                0.93027,                0.81251,                0.76617,                0.80699,                0.56096,                 0.7995,                0.74627,                0.75126,                0.39507,                 1.0747,                 2.8401,                0.79495,                 1.0641,              0.0004358,              0.0004358,              0.0004358
                     81,                0.83497,                 1.8594,                0.53126,                0.92686,                0.75195,                0.81444,                0.80912,                0.56819,                0.73086,                0.78109,                0.73918,                0.40268,                 1.0831,                 2.6904,                0.77751,                 1.0691,               0.000416,               0.000416,               0.000416
                     82,                0.83124,                 1.8149,                0.53636,                 0.9337,                0.82295,                0.76312,                0.81668,                0.58338,                0.78868,                0.73134,                 0.7584,                0.41457,                 1.0687,                  2.735,                0.76594,                 1.0662,              0.0003962,              0.0003962,              0.0003962
                     83,                 0.8362,                 1.8733,                0.52659,                0.92474,                0.80759,                0.75173,                0.82546,                0.58245,                0.78621,                0.73183,                0.77463,                0.41895,                 1.0678,                 2.7673,                 0.7738,                 1.0572,              0.0003764,              0.0003764,              0.0003764
                     84,                0.81537,                 1.7865,                0.51671,                0.92789,                0.83869,                0.78607,                0.81396,                0.58297,                 0.8029,                0.75124,                0.76255,                0.41724,                 1.0705,                 2.7241,                0.74397,                 1.0747,              0.0003566,              0.0003566,              0.0003566
                     85,                0.83997,                 1.8005,                0.52557,                0.92333,                0.80758,                0.81592,                0.83114,                0.59418,                0.83596,                0.73632,                0.78109,                0.42514,                 1.0564,                  2.764,                0.70717,                 1.0696,              0.0003368,              0.0003368,              0.0003368
                     86,                0.80538,                 1.8039,                0.50325,                0.92828,                0.84379,                0.77936,                0.81411,                0.59093,                0.81695,                0.75495,                0.77646,                0.41808,                 1.0466,                 2.7355,                0.74187,                 1.0632,               0.000317,               0.000317,               0.000317
                     87,                0.82588,                 1.7593,                0.52349,                0.92931,                0.80423,                0.78607,                0.81657,                0.58311,                0.79358,                0.75622,                0.78028,                0.40325,                 1.0791,                 2.7366,                0.74492,                 1.0769,              0.0002972,              0.0002972,              0.0002972
                     88,                0.80321,                 1.7863,                0.50272,                0.91867,                0.81457,                0.78678,                0.81048,                0.57206,                0.78881,                 0.7619,                0.76374,                0.40234,                 1.0999,                 2.7569,                0.74185,                 1.0924,              0.0002774,              0.0002774,              0.0002774
                     89,                0.78874,                 1.7684,                0.48726,                0.91727,                0.85319,                0.74627,                 0.8169,                0.57683,                0.80231,                 0.7269,                0.76067,                0.41291,                 1.0714,                 2.8327,                0.75463,                 1.0879,              0.0002576,              0.0002576,              0.0002576
                     90,                0.81825,                 1.8395,                0.50578,                0.92447,                0.82926,                0.77114,                0.82311,                 0.5883,                 0.8067,                0.74627,                0.76932,                0.43029,                 1.0649,                 2.7791,                0.74753,                 1.0759,              0.0002378,              0.0002378,              0.0002378
                     91,                0.81054,                 1.8053,                0.51653,                0.93004,                0.83827,                0.77359,                0.82865,                0.58432,                0.80569,                0.74266,                0.76928,                0.42567,                 1.1238,                 2.8606,                0.73848,                 1.1109,               0.000218,               0.000218,               0.000218
                     92,                0.79196,                  1.741,                0.49274,                0.92889,                0.83226,                0.76522,                0.82879,                 0.5894,                0.79983,                0.73553,                0.77005,                 0.4242,                 1.0813,                 2.8129,                0.72394,                 1.0914,              0.0001982,              0.0001982,              0.0001982
                     93,                0.77918,                 1.7815,                0.49735,                0.92134,                0.82853,                0.78607,                0.83689,                0.58775,                0.80208,                0.76119,                0.78679,                0.42231,                 1.0951,                 2.7682,                0.72736,                 1.0812,              0.0001784,              0.0001784,              0.0001784
                     94,                0.77496,                 1.7447,                0.48176,                0.92162,                 0.8316,                0.77612,                0.83417,                0.58907,                0.81027,                0.75622,                0.77368,                0.41823,                 1.0849,                 2.7623,                0.72972,                 1.0824,              0.0001586,              0.0001586,              0.0001586
                     95,                0.79356,                 1.7522,                0.48659,                0.92883,                0.84236,                0.79602,                0.82939,                0.57984,                0.80446,                0.76119,                0.75831,                0.40695,                 1.1085,                 2.8493,                0.72854,                 1.0902,              0.0001388,              0.0001388,              0.0001388
                     96,                0.77332,                 1.7457,                0.47817,                0.92033,                0.84858,                0.78065,                0.82781,                0.59541,                 0.8153,                0.74667,                0.77354,                0.41111,                  1.068,                 2.8312,                0.71961,                 1.0796,               0.000119,               0.000119,               0.000119
                     97,                0.78549,                 1.7877,                 0.4827,                0.92411,                0.84678,                0.77612,                0.83208,                0.59138,                0.81399,                0.74627,                0.77812,                0.41851,                  1.068,                 2.8289,                0.73175,                 1.0749,               9.92e-05,               9.92e-05,               9.92e-05
                     98,                0.77584,                 1.7527,                0.47692,                0.91566,                0.82419,                0.79299,                0.83577,                0.59947,                0.79339,                0.76418,                0.78682,                0.42003,                  1.061,                 2.8322,                 0.7191,                 1.0759,               7.94e-05,               7.94e-05,               7.94e-05
                     99,                0.77566,                 1.7492,                 0.4721,                0.91688,                0.82053,                0.78607,                0.83642,                0.59509,                0.78418,                0.75124,                0.78022,                0.41825,                 1.0746,                 2.8432,                0.71357,                 1.0762,               5.96e-05,               5.96e-05,               5.96e-05
                    100,                0.77394,                 1.7801,                0.48389,                0.92266,                0.84588,                0.76617,                0.84008,                0.59963,                0.76856,                0.76119,                0.77888,                0.41427,                 1.0749,                 2.8476,                0.71581,                 1.0758,               3.98e-05,               3.98e-05,               3.98e-05
